STID,air_temp,relative_humidity,precip_accum,fuel_moisture,wind_speed,solar_radiation
CPTC2,1,1,1,1,1,1
CHAC2,1,1,1,1,1,1
CHRC2,1,1,1,1,1,1
DYKC2,1,1,1,1,1,1
LKGC2,1,1,1,1,1,1
CCEC2,1,1,1,1,1,1
RDKC2,1,1,1,1,1,1
RFRC2,1,1,1,1,1,1
SAWC2,1,1,1,1,1,1
WLCC2,1,1,1,1,1,1
ESPC2,1,1,1,1,1,1
MRFC2,1,1,1,1,1,1
PKLC2,1,1,1,1,1,1
CUHC2,1,1,1,1,1,1
BAWC2,1,1,1,1,1,1
BTAC2,1,1,1,1,1,1
BMOC2,1,1,1,1,1,1
CYNC2,1,1,1,1,1,1
TR563,1,1,1,1,1,1
CCYC2,1,1,1,1,1,1
JNSC2,1,1,1,1,1,1
TS582,1,1,1,1,1,1
AENC2,1,1,1,1,1,1
LSTC2,1,1,1,1,1,1
LPFC2,1,1,1,1,1,1
TS872,1,1,1,1,1,1
RRAC2,1,1,1,1,1,1
FKTC2,1,1,1,1,1,1
DMTC2,1,1,1,1,1,1
KSEC2,1,1,1,1,1,1
TT065,1,1,1,1,1,1
TT394,1,1,1,1,1,1
BEYC2,1,1,1,1,1,1
TT561,1,1,1,1,1,1
TT562,1,1,1,1,1,1
TT563,1,1,1,1,1,1
TT564,1,1,1,1,1,1
TT565,1,1,1,1,1,1
TT566,1,1,1,1,1,1
TT567,1,1,1,1,1,1
TT568,1,1,1,1,1,1
TT689,1,1,1,1,1,1
TT695,1,1,1,1,1,1
TT696,1,1,1,1,1,1
